Hotel Name,Location,Category,Price Range (PHP/night),Common Amenities,Peak Season Surcharge (%)
Hotel 1,Destination 1,Mid-Range,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 2,Destination 2,Luxury,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 3,Destination 3,Budget,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 4,Destination 4,Mid-Range,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 5,Destination 5,Luxury,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 6,Destination 6,Budget,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 7,Destination 7,Mid-Range,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 8,Destination 8,Luxury,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 9,Destination 9,Budget,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 10,Destination 10,Mid-Range,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 11,Destination 11,Luxury,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 12,Destination 12,Budget,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 13,Destination 13,Mid-Range,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 14,Destination 14,Luxury,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 15,Destination 15,Budget,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 16,Destination 16,Mid-Range,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 17,Destination 17,Luxury,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 18,Destination 18,Budget,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 19,Destination 19,Mid-Range,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 20,Destination 20,Luxury,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 21,Destination 21,Budget,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 22,Destination 22,Mid-Range,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 23,Destination 23,Luxury,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 24,Destination 24,Budget,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 25,Destination 25,Mid-Range,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 26,Destination 26,Luxury,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 27,Destination 27,Budget,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 28,Destination 28,Mid-Range,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 29,Destination 29,Luxury,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 30,Destination 30,Budget,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 31,Destination 31,Mid-Range,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 32,Destination 32,Luxury,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 33,Destination 33,Budget,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 34,Destination 34,Mid-Range,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 35,Destination 35,Luxury,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 36,Destination 36,Budget,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 37,Destination 37,Mid-Range,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 38,Destination 38,Luxury,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 39,Destination 39,Budget,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 40,Destination 40,Mid-Range,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 41,Destination 41,Luxury,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 42,Destination 42,Budget,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 43,Destination 43,Mid-Range,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 44,Destination 44,Luxury,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 45,Destination 45,Budget,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 46,Destination 46,Mid-Range,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 47,Destination 47,Luxury,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 48,Destination 48,Budget,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 49,Destination 49,Mid-Range,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 50,Destination 50,Luxury,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 51,Destination 51,Budget,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 52,Destination 52,Mid-Range,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 53,Destination 53,Luxury,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 54,Destination 54,Budget,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 55,Destination 55,Mid-Range,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 56,Destination 56,Luxury,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 57,Destination 57,Budget,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 58,Destination 58,Mid-Range,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 59,Destination 59,Luxury,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 60,Destination 60,Budget,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 61,Destination 61,Mid-Range,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 62,Destination 62,Luxury,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 63,Destination 63,Budget,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 64,Destination 64,Mid-Range,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 65,Destination 65,Luxury,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 66,Destination 66,Budget,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 67,Destination 67,Mid-Range,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 68,Destination 68,Luxury,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 69,Destination 69,Budget,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 70,Destination 70,Mid-Range,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 71,Destination 71,Luxury,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 72,Destination 72,Budget,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 73,Destination 73,Mid-Range,7000 - 18000,"Gym, Beachfront, Spa",40
